Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
33765,No Reference,Unknown,Yellow gold,Unknown,Unknown,nan,Unknown,6027,151,The Watch Outlet,Unknown,Champagne,,No Reference,Unknown,No,No,Unknown,Unknown
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Male,34474,208,Watches of Antwerp,3285,Black,None,126711CHNR,Unknown,Yes,Yes,Belgium,Antwerp
GMT-Master II,116718LN,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,58911,153,Vintage & Prestige,3186,Black,None,116718LN,Unknown,No,No,Unknown,Unknown
Air King,9651795984684,Automatic,Steel,Steel,1972,Used,Male,6014,408,KUROFUNE&PARTNERS.CO,Unknown,,,No Reference,Good,No,Yes,Japan,Tokyo
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2021,New,Male,36631,165,Amstel Watches,3135,Blue,None,124300,Unknown,Yes,Yes,Unknown,Amsterdam
Daytona,126503,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Male,46858,262,777CHRONOS,4131,Black,None,126503,Unknown,Yes,Yes,Sweden,Stockholm
Datejust 36,16014,Automatic,Steel,Steel,Unknown,nan,Male,10409,125,Timeless Timepieces,3035,Silver,None,16014,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2023,Like new & unworn,Male,15626,165,Regal Time London Ltd,Unknown,,,126000,Unknown,Yes,Yes,United Kingdom,London
GMT-Master,1675,Automatic,Steel,Steel,1976,Used,Male,62525,534,Singapura Watches Singapore,Unknown,Black,None,1675,Very good,Yes,Yes,Singapore,Singapore
Day-Date 36,118238,Automatic,Yellow gold,Yellow gold,2006,Used,Male,45087,297,Watches of Henley Street Limited,3055,White,None,118238,Good,Yes,Yes,United Kingdom,Birmingham
Oyster Perpetual Date,15000,Automatic,Steel,Steel,Unknown,Used,Male,6493,0,Plus Watch - Luxury Watches,3035,Silver,None,15000,Very good,No,Yes,Italy,L'Aquila
Lady-Datejust,279178,Automatic,Yellow gold,Yellow gold,Unknown,nan,Female,40803,749,Filipucci Juweliers,Unknown,Unknown,,279178,Unknown,No,No,Unknown,Unknown
GMT-Master II,126713grnr,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,33255,0,Watch Trading Company,Unknown,Black,None,126713grnr,Unknown,No,No,Unknown,Unknown
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2021,Like new & unworn,Male,25400,0,Montauk Group Ltd,3135,Grey,Roman,126331,Unknown,Yes,Yes,Switzerland,Zug
Sea-Dweller 4000,16600,Automatic,Steel,Steel,2002,Used,Male,20901,498,Diamond watches London,3135,Black,None,16600,Very good,Yes,Yes,United Kingdom,London
Submariner Date,126610lv,Automatic,Steel,Steel,Unknown,nan,Male,25237,305,Arda and Co.,3135,Black,None,126610lv,Unknown,No,No,Unknown,Unknown
Day-Date 40,228206,Automatic,Platinum,Platinum,2022,Used,Male,119435,199,The Kettle Kids Limited,3255,Blue,Roman,228206,Very good,Yes,Yes,United Kingdom,London
GMT-Master II,126720VTNR,Automatic,Steel,Steel,Unknown,nan,Male,29524,305,G & G Timepieces,Unknown,Black,None,126720VTNR,Unknown,No,No,Unknown,Unknown
GMT-Master II,126715CHNR,Automatic,Rose gold,Rose gold,2022,Used,Male,62703,398,AJ Chrono,Unknown,Black,None,126715CHNR,Very good,Yes,Yes,United Kingdom,London
Air King,0001,Automatic,Steel,Steel,2023,Like new & unworn,Male,12586,0,Prymtime Watches LLC,Unknown,,,126900,Unknown,Yes,Yes,Unknown,"New Jersey, Sea Girt"
Lady-Datejust,6917,Automatic,Yellow gold,Yellow gold,Unknown,nan,Female,9410,0,Oreficeria Lupetta Srl,Unknown,,,6917,Unknown,No,No,Unknown,Unknown
Datejust 36,116234,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,14198,333,Juwelier Burger,Unknown,Unknown,,No Reference,Unknown,No,No,Unknown,Unknown
Datejust 36,116200,Automatic,Steel,Steel,Unknown,Used,Male,11444,151,Omi Jewelry,3135,Blue,Roman,116200,Very good,Yes,Yes,Unknown,"New York, New York"
Datejust 36,16013,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,9909,167,Van Wonderen Watches B.V.,Unknown,,,16013,Unknown,No,No,Unknown,Purmerend
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,18463,96,Time secret watches trading,3235,Blue,None,126300,Unknown,Yes,Yes,Unknown,Dubai
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,2024,Like new & unworn,Male,68431,229,Watch Affinity,3135,Black,,228238,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Lady-Datejust,179178,Automatic,Yellow gold,Yellow gold,2005,Used,Female,25367,685,Time of Swiss INC.,Unknown,Champagne,None,179178,Very good,Yes,Yes,Unknown,"California, Los Angeles"
Lady-Datejust,179174,Automatic,Steel,Steel,Unknown,nan,Female,9991,167,Filipucci Juweliers,Unknown,Unknown,,179174,Unknown,No,No,Unknown,Unknown
Lady-Datejust,79174,Automatic,Steel,Steel,Unknown,nan,Female,7911,167,Filipucci Juweliers,Unknown,Unknown,,79174,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,16628,Automatic,Yellow gold,Rubber,1994,Used,Male,26230,98,Scheideanstaltka.GmbH,Unknown,Unknown,,16628,Very good,No,Yes,Germany,Baden-Württemberg - Karlsruhe
Datejust 41,126333,Automatic,Steel,Steel,Unknown,nan,Male,23665,151,Watch My Diamonds,Unknown,,,No Reference,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,115200,Automatic,Steel,Steel,Unknown,nan,Male,11934,0,Swiss Watch Company UK Ltd.,Unknown,,,115200,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,15200,Automatic,Steel,Steel,1992,Used,Male,7311,82,Madrid Watch,3135,White,None,15200,Very good,Yes,Yes,Spain,Madrid
Precision,4410,Manual winding,Red gold,Red gold,Unknown,nan,Male,11323,147,Global Classic Atelier GmbH,Unknown,,,No Reference,Unknown,No,No,Unknown,Unknown
Air King,116900,Automatic,Steel,Steel,2018,Used,Male,11131,288,Diamond Crush Jewelry Inc,3235,Black,Arabic,116900,Very good,Yes,Yes,Unknown,"New York, New York"
Oyster Perpetual 36,126000,Automatic,Steel,Steel,Unknown,nan,Male,18911,518,Kettle Club Watches,3235,Pink,None,126000,Unknown,No,No,Unknown,Unknown
Datejust 36,16220,Automatic,Steel,Steel,Unknown,nan,Male,9147,153,Matthew Bain Inc,3135,Silver,,16220,Unknown,No,No,Unknown,Unknown
Air King,14000,Automatic,Steel,Steel,Unknown,nan,Male,9659,250,Le Passionneur,3135,Black,None,14000,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 31,277200,Automatic,Steel,Steel,2024,Like new & unworn,Female,18303,1499,Mutluoglu und Sargin GbR,Unknown,Blue,None,277200,Unknown,Yes,Yes,Germany,Köln
Submariner Date,16610LV,Automatic,Steel,Steel,2011,Like new & unworn,Male,34972,0,Plus Watch - Luxury Watches,3135,Black,None,16610LV,Unknown,Yes,Yes,Italy,L'Aquila
Explorer I,214270,Automatic,Steel,Steel,2017,Used,Male,14114,191,Luxury Watch Llc,3132,Black,Arabic,214270,Very good,Yes,Yes,Unknown,"New Jersey, Edgewater"
Submariner Date,168000,Automatic,Steel,Steel,1986,Used,Male,13251,153,Deep Arrow Inc. Fujihan,3135,Black,None,168000,Fair,No,Yes,Japan,Fuji City Shizuoka
Submariner Date,126619LB,Automatic,White gold,White gold,Unknown,nan,Male,54035,104,Taleda,Unknown,Unknown,,126619LB,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 28,276200,Automatic,Steel,Steel,2024,New,Female,12039,229,MVP Jewelers Miami,3135,Pink,None,276200,Unknown,Yes,Yes,Unknown,"Florida, Miami"
Sea-Dweller 4000,16600,Automatic,Steel,Steel,Unknown,nan,Male,16422,179,Tempvs Ltd,Unknown,Black,None,16600,Unknown,No,No,Unknown,Unknown
Sea-Dweller 4000,16600,Automatic,Steel,Steel,Unknown,nan,Male,16588,666,Bachmann & Scher GmbH,Unknown,Unknown,,16600,Unknown,No,No,Unknown,Unknown
Daytona,116515ln,Automatic,Red gold,Rubber,2023,New,Male,75360,0,NY Watch Lab,4130,Pink,None,116515ln,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,16613T,Automatic,Unknown,Unknown,Unknown,nan,Unknown,18755,0,Huntington Watch,Unknown,,,16613,Unknown,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,2011,Used,Male,45767,191,Luxury Watch Llc,4130,White,None,116520,Very good,Yes,Yes,Unknown,"New Jersey, Edgewater"
Oyster Perpetual 36,126000,Automatic,Steel,Steel,Unknown,nan,Male,22483,833,Startime Srl,3235,Blue,None,126000,Unknown,No,No,Unknown,Unknown
Submariner Date,126618LN,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,59039,1083,Filipucci Juweliers,Unknown,Unknown,,126618LN,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,2022,Like new & unworn,Male,21285,191,EXCLUSIVE TIMEPIECES NYC,3135,White,None,126334,Unknown,Yes,Yes,Unknown,"New York, New York"
Lady-Datejust,279173,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Female,20591,374,Tribeca Watch Inc,Unknown,Silver,None,279173,Unknown,Yes,Yes,Unknown,"New York, New York City"
Yacht-Master 42,226659,Automatic,White gold,Rubber,2022,New,Male,Unknown,151,Watches OFF 5TH,Unknown,Black,None,226659,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,16610,Automatic,Steel,Steel,Unknown,nan,Male,15553,761,"CollectorsWatches - Massapequa Park, NY",Unknown,,,16610,Unknown,No,No,Unknown,Unknown
Submariner Date,126610LV,Automatic,Steel,Steel,Unknown,nan,Unknown,25868,995,Chrono De Lux,Unknown,,,126610lv,Unknown,No,No,United Kingdom,London
Oyster Perpetual 34,14208,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,14190,153,Asutaba Inc.,Unknown,White,Roman,14208,Unknown,No,No,Unknown,Unknown
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,63952,250,CHRONO 10:10 s.r.o.,3135,Silver,,228238,Unknown,No,No,Unknown,Unknown
Lady-Datejust,69173,Automatic,Steel,Gold/Steel,1991,Used,Female,5798,229,New York Diamonds Inc,2135,Unknown,,69173,Good,No,Yes,Unknown,"New York, Rockville Centre"
Yacht-Master 40,126621,Automatic,Rose gold,Gold/Steel,2023,New,Male,27426,0,Mac Time Chicago,Unknown,Brown,None,126621,Unknown,Yes,Yes,Unknown,"Illinois, Chicago"
Yacht-Master 40,16622,Automatic,Steel,Steel,Unknown,nan,Male,15988,416,Maisenbacher Diamantengroßhandel GmbH,Unknown,,,16622,Unknown,No,No,Unknown,Unknown
Lady-Datejust,69178,Automatic,Yellow gold,Yellow gold,Unknown,nan,Female,13101,153,SANOYA,2135,Gold,None,69178,Unknown,No,No,Unknown,Unknown
Datejust 36,16220,Automatic,Steel,Steel,Unknown,nan,Male,12332,0,Swiss Watch Company UK Ltd.,Unknown,,,16220,Unknown,No,No,Unknown,Unknown
Datejust 31,278383RBR,Automatic,Steel,Steel,Unknown,nan,Unknown,36612,304,David and Sons Timepieces,Unknown,,,278383RBR,Unknown,No,No,Unknown,"California, San Diego"
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,19828,0,rf,3135,Silver,None,126334,Unknown,No,No,Unknown,Unknown
Daytona,116505,Automatic,Rose gold,Rose gold,Unknown,nan,Male,70624,281,The Swiss Collector,Unknown,,,116505,Unknown,No,No,Unknown,Unknown
Explorer I,214270,Automatic,Steel,Steel,Unknown,nan,Male,11537,0,Daikokuya,Unknown,,,214270,Unknown,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,Unknown,nan,Male,82438,1999,C & F Handelskontor GmbH,Unknown,Grey,Arabic,116520,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 31,277200,Automatic,Steel,Steel,Unknown,nan,Female,12115,0,Affordable Swiss Watches Inc.,3135,Green,None,277200,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,Unknown,nan,Male,17418,0,Chrono24 UK,Unknown,,,116660,Unknown,No,No,Unknown,Unknown
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,31453,0,"Cool Watch Co., Limited",Unknown,Black,None,126711CHNR,Unknown,Yes,Yes,Hong Kong,Hong Kong
Datejust 36,126200,Automatic,Steel,Steel,Unknown,nan,Male,15788,1632,della Rocca gioielli,Unknown,Blue,None,126200,Unknown,No,No,Unknown,Unknown
Explorer I,124270,Automatic,Steel,Steel,Unknown,nan,Male,14432,179,Tempvs Ltd,3135,Black,Arabic,124270,Unknown,No,No,Unknown,Unknown
Daytona,6241,Manual winding,Steel,Steel,1967,Used,Male,164877,165,F.P. LUXURY WATCHES,Unknown,Silver,None,6241,Very good,Yes,Yes,Italy,Saronno
Datejust 36,116244,Automatic,Steel,Steel,2012,Used,Unknown,21797,165,Chronofinder Ltd,Unknown,Silver,,116244,Very good,Yes,Yes,Unknown,Unknown
Datejust 36,116244,Automatic,Steel,Steel,2017,Used,Unknown,Unknown,333,Mr. Tempo Prezioso,Unknown,Black,,116244,Very good,Yes,Yes,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,23296,116,Exclusive Time,3135,Blue,Roman,126334,Unknown,No,No,Unknown,Unknown
Datejust 36,1601,Automatic,Yellow gold,Calf skin,1970,Used,Male,17487,333,tonez srl,1570,Unknown,,1601,Very good,Yes,Yes,Italy,Jesolo
Daytona,116588SACO,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,491299,150,Collector Square,Unknown,,,116588SACO,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,16628,Automatic,Yellow gold,Yellow gold,2021,nan,Unknown,68675,165,BQ Watches,3135,Mother of pearl,None,16628,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,2022,New,Male,23190,318,GMG Watches Ltd,3135,Silver,None,126334,Unknown,Yes,Yes,United Kingdom,London
GMT-Master II,16710,Automatic,Steel,Steel,2002,Used,Male,14785,0,Interwatches,Unknown,,,16710,Very good,No,Yes,Unknown,"Florida, Miami"
GMT-Master II,126720VTNR,Automatic,Steel,Steel,Unknown,nan,Male,34493,673,SIGAN CO LTD,3186,Black,None,126720VTNR,Unknown,No,No,Unknown,Unknown
Submariner,5513,Automatic,Steel,Steel,Unknown,nan,Male,21567,1632,della Rocca gioielli,Unknown,Black,None,5513,Unknown,No,No,Unknown,Unknown
Sea-Dweller 4000,16600,Automatic,Steel,Steel,Unknown,nan,Male,13427,151,Luxuriant Concierge,3135,Black,None,16600,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,Unknown,nan,Male,4096,102,"CLOSER co.,ltd",Unknown,,,6694,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,2014,Like new & unworn,Male,22882,165,Art of Time Ltd,3135,Blue,None,116660,Unknown,Yes,Yes,United Kingdom,Manchester
Air King,116900,Automatic,Steel,Steel,2017,Used,Unknown,14987,0,Plus Watch - Luxury Watches,Unknown,Black,Arabic,116900,Very good,Yes,Yes,Unknown,Unknown
Daytona,126515LN,Automatic,Rose gold,Rubber,2024,New,Male,67441,763,Giganti & Giganti Fine Jewelry,Unknown,Pink,None,126515LN,Unknown,Yes,Yes,Unknown,"Illinois, Springfield"
Oysterdate Precision,6694,Manual winding,Steel,Steel,1981,Used,Male,4188,292,WATCH DISTRICT,1225,Black,None,6694,Fair,No,Yes,Singapore,Singapore
Explorer II,216570,Automatic,Steel,Steel,Unknown,nan,Male,16319,304,Casa Doro Diamonds & Fine Jewelry,3187,White,None,216570,Unknown,No,No,Unknown,Unknown
GMT-Master II,16710,Automatic,Unknown,Unknown,Unknown,nan,Unknown,20586,0,Huntington Watch,Unknown,,,16710,Unknown,No,No,Unknown,Unknown
Explorer II,216570,Automatic,Steel,Steel,Unknown,nan,Male,16021,151,Don Chrono,3187,Black,None,216570,Unknown,No,No,Unknown,Unknown
Submariner Date,16610,Automatic,Steel,Steel,Unknown,nan,Unknown,35401,329,Ponti Collection,Unknown,,,16610,Unknown,No,No,Switzerland,Geneva
Explorer I,224270,Automatic,Steel,Steel,Unknown,nan,Male,15258,151,Watch My Diamonds,Unknown,Unknown,,224270,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Unknown,21666,304,David and Sons Timepieces,Unknown,,,126334,Unknown,No,No,Unknown,"California, Del Mar"
Oyster Perpetual Date,6924,Automatic,Steel,Steel,1980,Used,Female,6675,305,SGA Watches & Jewelry,Unknown,,,6924,Very good,No,No,Unknown,Unknown
GMT-Master,6542,Automatic,Steel,Steel,1957,Used,Male,Unknown,117,Watches Management,1030,Brown,None,6542,Very good,Yes,Yes,Italy,Rimini
Daytona,116500LN,Automatic,Steel,Steel,Unknown,New,Male,Unknown,1062,K2 Luxury SA,4130,White,None,116500LN,Unknown,Yes,Yes,Switzerland,Geneva
Datejust,9378828615980,Automatic,Steel,Steel,1988,Used,Male,7033,408,KUROFUNE&PARTNERS.CO,Unknown,,,No Reference,Good,No,Yes,Japan,Tokyo
Sea-Dweller Deepsea,136660,Automatic,Steel,Steel,2024,New,Male,24119,374,Rainbow Tech Watches,3235,Black,None,136660,Unknown,Yes,Yes,Unknown,Dubai
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,9765,153,Interwork,3135,Grey,None,16233,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,116655,Automatic,Rose gold,Rubber,2018,Used,Male,39470,1332,Consigli d'oro S.A.S.,Unknown,Black,None,116655,Very good,Yes,Yes,Italy,Sarnico
Explorer II,16570,Automatic,Steel,Steel,Unknown,nan,Male,17308,0,Swiss Watch Company UK Ltd.,Unknown,,,16570,Unknown,No,No,Unknown,Unknown
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,2024,New,Male,68967,151,Timepiece Trading LLC,3135,Gold,,228238,Unknown,Yes,Yes,Unknown,"Florida, Miami"
Daytona,16523,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,Unknown,583,Dual Time srl,Unknown,,,16523,Unknown,No,No,Italy,Roma
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2024,New,Male,70942,685,Time of Swiss INC.,3255,Brown,Roman,228235,Unknown,Yes,Yes,Unknown,"California, Los Angeles"
Daytona,116519,Automatic,White gold,Leather,2010,Used,Male,49970,305,Sea Wave Diamonds,Unknown,Grey,None,116519,Very good,Yes,Yes,Unknown,"New York, New York"
Datejust 31,278273,Automatic,Steel,Gold/Steel,2024,Like new & unworn,Female,28983,374,Tribeca Watch Inc,3135,Mother of pearl,,278273,Unknown,Yes,Yes,Unknown,"New York, New York City"
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2023,New,Male,89749,3106,Deluxury,3255,Green,Roman,228235,Unknown,Yes,Yes,Poland,Łódź
Oyster Perpetual 34,124200,Automatic,Steel,Steel,2023,Like new & unworn,Male,10409,236,montrezwatches,3235,Silver,None,124200,Unknown,Yes,Yes,Hong Kong,"Tsim Sha Tsui, Kowloon,"
Datejust 41,126300,Automatic,Steel,Steel,Unknown,nan,Male,26563,158,MyTime,Unknown,Unknown,,126300,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2023,Like new & unworn,Male,21354,374,Tribeca Watch Inc,3135,Green,None,126300,Unknown,Yes,Yes,Unknown,"New York, New York City"
GMT-Master II,126710BLNR,Automatic,Steel,Steel,Unknown,nan,Unknown,29062,333,Eupen Feine Uhren,Unknown,,,126710BLNR,Unknown,No,No,Germany,Köln
Oyster Perpetual 31,77080,Automatic,Steel,Steel,2002,Used,Unknown,8282,104,Png Watch Dealer,2230,Pink,Arabic,77080,Good,Yes,Yes,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,2008,Used,Male,32845,199,Ben Watches (Gibraltar),4130,White,None,116520,Very good,Yes,Yes,Gibraltar,Europe
Datejust 41,126334,Automatic,Steel,Steel,2024,New,Male,22394,199,JewelleryRooms,3135,Grey,None,126334,Unknown,Yes,Yes,United Kingdom,Fareham
Yacht-Master II,116689,Automatic,Unknown,Unknown,Unknown,nan,Unknown,38896,0,Huntington Watch,Unknown,,,116689,Unknown,No,No,Unknown,Unknown
Air King,14010,Automatic,Steel,Steel,Unknown,nan,Male,6995,250,Just In Time Watches di Claudio Tassinari,Unknown,Unknown,,14010,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,136660,Automatic,Steel,Steel,2023,New,Male,27710,76,Prestige Watch Sdn Bhd,Unknown,Blue,None,136660,Unknown,Yes,Yes,Malaysia,Kuala Lumpur
Submariner Date,126613LN,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Male,25771,229,Watch Affinity,3135,Black,None,126613LN,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Air King,14010M,Automatic,Steel,Steel,Unknown,nan,Male,8231,158,Watchoyster SA,Unknown,Black,None,14010M,Unknown,No,No,Unknown,Unknown
Daytona,116505,Automatic,Rose gold,Rose gold,Unknown,nan,Male,84578,140,Fredmans Ur AB,4030,Brown,None,116505,Unknown,No,No,Unknown,Unknown
Datejust 36,16248,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,29341,0,Mark Worthington Jewellers,Unknown,,,16248,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLNR,Automatic,Steel,Steel,Unknown,nan,Male,27096,82,Vintage Watch Agency,Unknown,Black,,126710BLNR,Unknown,No,No,Unknown,Unknown
Datejust 31,78240,Automatic,Steel,Steel,2002,Used,Female,8660,0,GIOIELLERIA ZAMBERLAN,2235,White,Roman,78240,Very good,Yes,Yes,Italy,La Salute Di Livenza
Datejust 41,0001,Automatic,Steel,Steel,2023,Like new & unworn,Male,19910,0,Prymtime Watches LLC,Unknown,Blue,None,126334,Unknown,Yes,Yes,Unknown,"New Jersey, Sea Girt"
Submariner Date,16610LV,Automatic,Steel,Steel,2006,Used,Male,24965,98,Time for Watches Koblenz,3135,Black,None,16610LV,Very good,Yes,Yes,Germany,Koblenz
Oyster Perpetual Date,15200,Automatic,Steel,Steel,Unknown,nan,Male,6662,200,Mi Time Milano,3135,White,Roman,15200,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2022,Like new & unworn,Male,17623,191,EXCLUSIVE TIMEPIECES NYC,3135,Blue,None,126300,Unknown,Yes,Yes,Unknown,"New York, New York"
Daytona,126509,Automatic,White gold,White gold,2023,New,Male,77652,98,Amrein Automobile GmbH & Co KG,Unknown,Black,None,2023,Unknown,Yes,Yes,Germany,Lahnstein
GMT-Master II,126719BLRO,Automatic,White gold,White gold,2023,New,Male,91432,115,Elekton Luxetime SL,Unknown,Grey,None,126719BLRO,Unknown,Yes,Yes,Spain,Barcelona
Datejust 41,126334,Automatic,Steel,Steel,2024,Like new & unworn,Male,25168,374,Tribeca Watch Inc,3135,Grey,None,126334,Unknown,Yes,Yes,Unknown,"New York, New York City"
Lady-Datejust,279171,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Female,17852,229,Watch Affinity,3135,Brown,,279171,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Daytona,6263,Manual winding,Steel,Steel,Unknown,nan,Male,166540,416,Maisenbacher Diamantengroßhandel GmbH,Unknown,,,6263,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710LN,Automatic,Steel,Steel,2013,New,Male,29753,145,"Awad Watches, Inc",3186,Black,None,116710LN,Unknown,Yes,Yes,Unknown,"Florida, Miami"
Datejust II,116334,Automatic,Steel,Steel,Unknown,nan,Male,17165,0,Atlanta Luxury Watches & Jewelry,3135,Blue,None,116334,Unknown,No,No,Unknown,Unknown
Milgauss,116400GV,Automatic,Steel,Steel,2021,Used,Male,17234,191,Austins Watches Inc.,3131,Blue,None,116400GV,Very good,Yes,Yes,Unknown,"California, Los Angeles"
Daytona,116500LN,Automatic,Steel,Steel,2024,Used,Male,42860,610,My Watch LLC,4130,Black,None,116500LN,Very good,Yes,Yes,Unknown,"Michigan, Oak Park, Mi"
GMT-Master II,116710BLNR,Automatic,Steel,Steel,2019,New,Male,25931,229,Salamanca's Watches,3186,Black,None,116710BLNR,Unknown,Yes,Yes,Unknown,"Florida, West Palm Beach"
Oyster Perpetual Date,15200,Automatic,Steel,Steel,Unknown,nan,Male,6398,761,"CollectorsWatches - Massapequa Park, NY",Unknown,Unknown,,15200,Unknown,No,No,Unknown,Unknown
